supplier_sk,supplier_id,supplier_code,supplier_name,supplier_category,country,city,vat_id,payment_terms_days,preferred_flag,supplier_status,contact_email,source_system,effective_from,effective_to,is_current,source_updated_at
25,SUP-424,S-424,Factory Shell Partners,Construction,DE,Ingolstadt,DE342518886,45,Y,Active,finance@fsp.de,VENDOR_MDM,2024-11-01,9999-12-31,Y,2025-01-12T08:25:00
26,SUP-425,S-425,Capital Design Studio,Design,DE,Berlin,DE453629997,30,N,Active,office@capitaldesign.de,VENDOR_MDM,2024-09-01,9999-12-31,Y,2024-09-15T14:14:00
27,SUP-426,S-426,MetroCore Construction,Construction,DE,Berlin,DE564730008,45,Y,Active,ap@metrocore.de,VENDOR_MDM,2024-09-01,9999-12-31,Y,2024-11-01T09:45:00
28,SUP-427,S-427,Premium Office Interiors,Interior,DE,Berlin,DE675841220,30,Y,Active,billing@premiumoffice.de,VENDOR_MDM,2025-01-01,9999-12-31,Y,2025-02-01T10:35:00
29,SUP-428,S-428,North Port Construction,Construction,DE,Bremen,DE786952331,45,Y,Active,finance@northport.de,VENDOR_MDM,2024-07-01,9999-12-31,Y,2024-08-01T08:44:00
30,SUP-429,S-429,Storage Build Solutions,Construction,DE,Bremen,DE897063442,45,N,Active,ap@storagebuild.de,VENDOR_MDM,2024-09-01,9999-12-31,Y,2024-10-01T12:22:00
31,SUP-430,S-430,Harbor Utility Networks,Infrastructure,DE,Bremen,DE908174553,30,N,Active,billing@harborutility.de,VENDOR_MDM,2024-12-01,9999-12-31,Y,2025-01-02T09:55:00
32,SUP-431,S-431,UrbanMass Constructors,Construction,DE,Frankfurt,DE019285664,45,Y,Active,finance@urbanmass.de,VENDOR_MDM,2024-08-01,9999-12-31,Y,2024-09-20T11:11:00
33,SUP-432,S-432,Highline Concrete Systems,Construction,DE,Frankfurt,DE120396775,45,Y,Active,ap@highlineconcrete.de,VENDOR_MDM,2024-11-01,9999-12-31,Y,2024-12-05T15:05:00
34,SUP-433,S-433,QuarterFit Interiors,Interior,DE,Frankfurt,DE231407886,30,Y,Active,billing@quarterfit.de,VENDOR_MDM,2025-02-01,9999-12-31,Y,2025-03-01T08:40:00
